roundID,timestamp,crash
175,10/7/25 21:47,3.63
176,10/7/25 21:47,1.00
177,10/7/25 21:47,2.25
178,10/7/25 21:48,1.36
179,10/7/25 21:48,1.03
180,10/7/25 21:48,1.42
181,10/7/25 21:48,1.37
182,10/7/25 21:49,16.12
183,10/7/25 21:49,10.91
184,10/7/25 21:50,1.51
185,10/7/25 21:51,2.57
186,10/7/25 21:51,2.44
187,10/7/25 21:51,2.64
188,10/7/25 21:52,4.86
189,10/7/25 21:52,14.85
190,10/7/25 21:52,2.32
191,10/7/25 21:53,6.97
192,10/7/25 21:53,1.39
193,10/7/25 21:53,2.91
194,10/7/25 21:54,2.21
195,10/7/25 21:54,1.35
196,10/7/25 21:54,2.02
197,10/7/25 21:55,2.34
198,10/7/25 21:55,1.59
199,10/7/25 21:55,11.71
200,10/7/25 21:56,7.08
201,10/7/25 21:56,2.64
202,10/7/25 21:56,1.48
203,10/7/25 21:57,4.42
204,10/7/25 21:57,12.44
205,10/7/25 21:58,5.82
206,10/7/25 21:58,2.66
207,10/7/25 21:58,2.28
208,10/7/25 21:59,1.59
209,10/7/25 21:59,16.45
210,10/7/25 22:00,13.31
211,10/7/25 22:00,1.08
212,10/7/25 22:00,1.66
213,10/7/25 22:00,4.02
214,10/7/25 22:01,2.41
215,10/7/25 22:01,3.60
216,10/7/25 22:02,3.62
217,10/7/25 22:02,1.68
218,10/7/25 22:02,6.49
219,10/7/25 22:02,1.91
220,10/7/25 22:03,1.32
221,10/7/25 22:03,5.43
222,10/7/25 22:03,1.07
223,10/7/25 22:04,27.63
224,10/7/25 22:04,1.16
225,10/7/25 22:04,1.14
226,10/7/25 22:05,1.56
227,10/7/25 22:05,1.14
228,10/7/25 22:05,1.21
229,10/7/25 22:05,2.21
230,10/7/25 22:06,3.23
231,10/7/25 22:06,1.82
232,10/7/25 22:06,1.44
233,10/7/25 22:07,24.66
234,10/7/25 22:08,22.48
235,10/7/25 22:08,1.38
236,10/7/25 22:08,1.13
237,10/7/25 22:08,1.16
238,10/7/25 22:09,1.40
239,10/7/25 22:09,3.82
240,10/7/25 22:10,20.54
241,10/7/25 22:10,1.29
242,10/7/25 22:10,8.13
243,10/7/25 22:11,2.32
244,10/7/25 22:11,1.73
245,10/7/25 22:11,4.80
246,10/7/25 22:12,10.19
247,10/7/25 22:12,2.62
248,10/7/25 22:13,17.19
249,10/7/25 22:13,1.50
250,10/7/25 22:13,1.82
251,10/7/25 22:13,3.18
252,10/7/25 22:14,1.13
253,10/7/25 22:14,1.36
254,10/7/25 22:14,1.38
255,10/7/25 22:14,2.53
256,10/7/25 22:15,1.08
257,10/7/25 22:15,5.92
258,10/7/25 22:15,1.27
259,10/7/25 22:16,3.91
260,10/7/25 22:16,2.25
261,10/7/25 22:16,6.23
262,10/7/25 22:17,2.60
263,10/7/25 22:17,4.09
264,10/7/25 22:17,2.41
265,10/7/25 22:18,2.79
266,10/7/25 22:18,3.53
267,10/7/25 22:18,1.31
268,10/7/25 22:18,1.28
269,10/7/25 22:19,5.11
270,10/7/25 22:19,11.44
271,10/7/25 22:20,1.67
272,10/7/25 22:20,19.07
273,10/7/25 22:21,2.27
274,10/7/25 22:21,1.00
275,10/7/25 22:21,3.80
276,10/7/25 22:22,16.37
277,10/7/25 22:22,1.58
278,10/7/25 22:22,1.61
279,10/7/25 22:23,7.91
280,10/7/25 22:23,1.89
281,10/7/25 22:23,1.33
282,10/7/25 22:23,1.30
283,10/7/25 22:24,1.21
284,10/7/25 22:24,11.44
285,10/7/25 22:25,3.16
286,10/7/25 22:25,1.00
287,10/7/25 22:25,2.15
288,10/7/25 22:25,1.01
289,10/7/25 22:25,1.02
290,10/7/25 22:26,1.00
291,10/7/25 22:26,1.36
292,10/7/25 22:26,1.43
293,10/7/25 22:26,1.88
294,10/7/25 22:27,4.67
295,10/7/25 22:27,7.09
296,10/7/25 22:27,1.69
297,10/7/25 22:28,3.65
298,10/7/25 22:28,2.52
299,10/7/25 22:28,1.46
300,10/7/25 22:29,2.20
301,10/7/25 22:29,1.11
302,10/7/25 22:29,2.00
303,10/7/25 22:30,12.45
304,10/7/25 22:30,3.58
305,10/7/25 22:30,1.75
306,10/7/25 22:30,1.98
307,10/7/25 22:31,1.33
308,10/7/25 22:31,4.34
309,10/7/25 22:32,7.31
310,10/7/25 22:32,1.65
311,10/7/25 22:32,10.92
312,10/7/25 22:32,1.15
313,10/7/25 22:33,30.84
314,10/7/25 22:34,2.43
315,10/7/25 22:34,3.82
316,10/7/25 22:34,6.70
317,10/7/25 22:35,2.06
318,10/7/25 22:35,2.97
319,10/7/25 22:35,1.57
320,10/7/25 22:35,1.55
321,10/7/25 22:36,1.32
322,10/7/25 22:36,2.22
323,10/7/25 22:36,1.47
324,10/7/25 22:36,1.05
325,10/7/25 22:37,2.75
326,10/7/25 22:37,1.00
327,10/7/25 22:37,2.56
328,10/7/25 22:38,1.78
329,10/7/25 22:38,20.66
330,10/7/25 22:38,1.27
331,10/7/25 22:39,1.92
332,10/7/25 22:39,2.70
333,10/7/25 22:39,1.05
334,10/7/25 22:39,1.75
335,10/7/25 22:40,2.84
336,10/7/25 22:40,1.32
337,10/7/25 22:40,1.76
338,10/7/25 22:41,1.83
339,10/7/25 22:41,3.36
340,10/7/25 22:41,1.11
341,10/7/25 22:41,2.19
342,10/7/25 22:42,11.55
343,10/7/25 22:42,1.33
344,10/7/25 22:42,3.06
345,10/7/25 22:43,1.17
346,10/7/25 22:43,3.59
347,10/7/25 22:43,1.25
348,10/7/25 22:44,1.59
349,10/7/25 22:44,1.39
350,10/7/25 22:44,4.28
351,10/7/25 22:45,7.84
352,10/7/25 22:45,1.57
353,10/7/25 22:45,1.13
354,10/7/25 22:45,3.86
355,10/7/25 22:46,1.34
356,10/7/25 22:46,3.11
357,10/7/25 22:46,5.07
358,10/7/25 22:47,22.31
359,10/7/25 22:47,2.86
360,10/7/25 22:48,1.86
361,10/7/25 22:48,1.74
362,10/7/25 22:48,1.18
363,10/7/25 22:48,1.03
364,10/7/25 22:49,5.69
365,10/7/25 22:49,1.32
366,10/7/25 22:49,1.37
367,10/7/25 22:49,1.71
368,10/7/25 22:50,1.50
369,10/7/25 22:50,1.51
370,10/7/25 22:50,1.43
371,10/7/25 22:50,1.04
372,10/7/25 22:51,1.03
373,10/7/25 22:51,1.00
374,10/7/25 22:51,1.86
375,10/7/25 22:51,1.13
376,10/7/25 22:52,3.86
377,10/7/25 22:52,1.17
378,10/7/25 22:52,1.78
379,10/7/25 22:52,1.35
380,10/7/25 22:53,1.18
381,10/7/25 22:53,1.27
382,10/7/25 22:53,2.28
383,10/7/25 22:53,5.35
384,10/7/25 22:54,1.60
385,10/7/25 22:54,3.33
386,10/7/25 22:54,2.04
387,10/7/25 22:55,3.68
388,10/7/25 22:55,1.87
389,10/7/25 22:55,1.07
390,10/7/25 22:55,1.05
391,10/7/25 22:56,21.19
392,10/7/25 22:56,4.70
393,10/7/25 22:57,6.06
394,10/7/25 22:57,1.35
395,10/7/25 22:58,24.78
396,10/7/25 22:58,1.00
397,10/7/25 22:58,7.35
398,10/7/25 22:59,2.08
399,10/7/25 22:59,1.27
400,10/7/25 23:00,20.52
401,10/7/25 23:00,1.27
402,10/7/25 23:00,1.22
403,10/7/25 23:00,5.92
404,10/7/25 23:01,9.35
405,10/7/25 23:01,7.44
406,10/7/25 23:02,1.01
407,10/7/25 23:02,1.72
408,10/7/25 23:02,1.26
409,10/7/25 23:02,2.54
410,10/7/25 23:03,4.66
411,10/7/25 23:03,2.35
412,10/7/25 23:03,1.95
413,10/7/25 23:04,2.70
414,10/7/25 23:04,1.06
415,10/7/25 23:04,2.90
416,10/7/25 23:04,1.05
417,10/7/25 23:05,12.94
418,10/7/25 23:05,14.44
419,10/7/25 23:06,5.20
420,10/7/25 23:06,2.38
421,10/7/25 23:06,1.48
422,10/7/25 23:07,18.92
423,10/7/25 23:07,1.76
424,10/7/25 23:08,29.81
425,10/7/25 23:08,6.77
426,10/7/25 23:09,1.59
427,10/7/25 23:09,1.47
428,10/7/25 23:09,4.27
429,10/7/25 23:10,2.00
430,10/7/25 23:10,1.91
431,10/7/25 23:10,3.86
432,10/7/25 23:11,24.85
433,10/7/25 23:11,1.00
434,10/7/25 23:11,1.34
435,10/7/25 23:12,1.86
436,10/7/25 23:12,18.64
437,10/7/25 23:13,16.67
438,10/7/25 23:13,5.17
439,10/7/25 23:14,10.97
440,10/7/25 23:14,1.67
441,10/7/25 23:14,1.29
442,10/7/25 23:15,5.31
443,10/7/25 23:15,4.30
444,10/7/25 23:15,1.41
445,10/7/25 23:15,1.02
446,10/7/25 23:16,1.16
447,10/7/25 23:16,2.17
448,10/7/25 23:16,2.71
449,10/7/25 23:16,1.42
450,10/7/25 23:17,30.13
451,10/7/25 23:18,18.00
452,10/7/25 23:18,1.39
453,10/7/25 23:18,3.58
454,10/7/25 23:19,2.86
455,10/7/25 23:19,2.60
456,10/7/25 23:19,1.00
457,10/7/25 23:20,2.83
458,10/7/25 23:20,1.01
459,10/7/25 23:20,1.09
460,10/7/25 23:20,4.89
461,10/7/25 23:21,1.20
462,10/7/25 23:21,1.02
463,10/7/25 23:21,1.48
464,10/7/25 23:21,1.03
465,10/7/25 23:21,1.76
466,10/7/25 23:22,2.90
467,10/7/25 23:22,18.50
468,10/7/25 23:23,6.65
469,10/7/25 23:23,1.00
470,10/7/25 23:23,1.41
471,10/7/25 23:24,2.64
472,10/7/25 23:24,1.34
473,10/7/25 23:24,5.34
474,10/7/25 23:24,1.05
475,10/7/25 23:25,1.10
476,10/7/25 23:25,3.93
477,10/7/25 23:25,1.17
478,10/7/25 23:25,1.56
479,10/7/25 23:26,15.13
480,10/7/25 23:26,1.40
481,10/7/25 23:27,2.69
482,10/7/25 23:27,21.51
483,10/7/25 23:28,7.06
484,10/7/25 23:28,5.23
485,10/7/25 23:28,3.15
486,10/7/25 23:29,4.26
487,10/7/25 23:29,1.31
488,10/7/25 23:29,1.85
489,10/7/25 23:30,1.95
490,10/7/25 23:30,6.35
491,10/7/25 23:30,1.78
492,10/7/25 23:30,2.12
493,10/7/25 23:31,2.28
494,10/7/25 23:31,3.17
495,10/7/25 23:31,1.85
496,10/7/25 23:32,1.71
497,10/7/25 23:32,1.08
498,10/7/25 23:32,3.12
499,10/7/25 23:33,3.32
500,10/7/25 23:33,1.28
501,10/7/25 23:33,1.40
502,10/7/25 23:33,4.31
503,10/7/25 23:34,2.98
504,10/7/25 23:34,2.72
505,10/7/25 23:34,1.49
506,10/7/25 23:35,9.30
507,10/7/25 23:35,1.91
508,10/7/25 23:35,1.95
509,10/7/25 23:36,1.35
510,10/7/25 23:36,2.46
511,10/7/25 23:36,1.56
512,10/7/25 23:36,1.50
513,10/7/25 23:37,22.78
514,10/7/25 23:37,1.02
515,10/7/25 23:38,3.07
516,10/7/25 23:38,1.31
517,10/7/25 23:39,28.35
518,10/7/25 23:39,1.75
519,10/7/25 23:39,1.00
520,10/7/25 23:39,1.52
521,10/7/25 23:39,1.00
522,10/7/25 23:40,2.06
523,10/7/25 23:40,2.85
524,10/7/25 23:40,1.16
525,10/7/25 23:40,1.38
526,10/7/25 23:41,1.07
527,10/7/25 23:41,2.21
528,10/7/25 23:41,3.83
529,10/7/25 23:42,28.47
530,10/7/25 23:42,1.30
531,10/7/25 23:42,1.39
532,10/7/25 23:43,1.10
533,10/7/25 23:43,8.20
534,10/7/25 23:43,1.94
535,10/7/25 23:44,1.08
536,10/7/25 23:44,1.02
537,10/7/25 23:44,6.37
538,10/7/25 23:44,1.27
539,10/7/25 23:45,1.16
540,10/7/25 23:45,1.83
541,10/7/25 23:45,1.93
542,10/7/25 23:46,1.16
543,10/7/25 23:46,1.29
544,10/7/25 23:46,1.14
545,10/7/25 23:46,1.17
546,10/7/25 23:47,5.80
547,10/7/25 23:47,2.75
548,10/7/25 23:47,3.53
549,10/7/25 23:48,22.10
550,10/7/25 23:48,3.21
551,10/7/25 23:48,1.55
552,10/7/25 23:49,11.87
553,10/7/25 23:49,2.16
554,10/7/25 23:50,2.03
555,10/7/25 23:50,4.19
556,10/7/25 23:50,1.49
557,10/7/25 23:51,24.58
558,10/7/25 23:51,2.40
559,10/7/25 23:51,1.62
560,10/7/25 23:52,1.00
561,10/7/25 23:52,2.07
562,10/7/25 23:52,6.47
563,10/7/25 23:53,3.87
564,10/7/25 23:53,1.15
565,10/7/25 23:53,2.83
566,10/7/25 23:53,1.01
567,10/7/25 23:54,2.65
568,10/7/25 23:54,3.67
569,10/7/25 23:54,1.08
570,10/7/25 23:54,1.13
571,10/7/25 23:55,3.36
572,10/7/25 23:55,6.32
573,10/7/25 23:56,3.71
574,10/7/25 23:56,1.43
575,10/7/25 23:56,6.96
576,10/7/25 23:56,1.04
577,10/7/25 23:57,2.13
578,10/7/25 23:57,15.94
579,10/7/25 23:58,1.28
580,10/7/25 23:58,1.87
581,10/7/25 23:58,5.32
582,10/7/25 23:58,1.56
583,10/7/25 23:59,3.03
584,10/7/25 23:59,1.38
585,10/7/25 23:59,1.30
586,10/7/25 23:59,1.07
587,10/8/25 0:00,3.63
588,10/8/25 0:00,2.89
589,10/8/25 0:00,2.21
590,10/8/25 0:01,4.48
591,10/8/25 0:01,1.90
592,10/8/25 0:01,4.82
593,10/8/25 0:02,1.13
594,10/8/25 0:02,1.14
595,10/8/25 0:02,1.27
596,10/8/25 0:02,3.95
597,10/8/25 0:03,20.03
598,10/8/25 0:03,1.05
599,10/8/25 0:04,1.36
600,10/8/25 0:04,2.16
601,10/8/25 0:04,1.17
602,10/8/25 0:04,1.41
603,10/8/25 0:05,2.51
604,10/8/25 0:05,1.50
605,10/8/25 0:05,2.28
606,10/8/25 0:05,1.00
607,10/8/25 0:06,9.96
608,10/8/25 0:06,2.52
609,10/8/25 0:07,6.72
610,10/8/25 0:07,6.05
611,10/8/25 0:07,5.63
612,10/8/25 0:08,2.84
613,10/8/25 0:08,1.00
614,10/8/25 0:08,2.60
615,10/8/25 0:08,1.72
616,10/8/25 0:09,2.68
617,10/8/25 0:09,1.49
618,10/8/25 0:09,1.00
619,10/8/25 0:09,1.89
620,10/8/25 0:10,1.00
621,10/8/25 0:10,1.52
622,10/8/25 0:10,1.05
623,10/8/25 0:10,2.62
624,10/8/25 0:11,1.08
625,10/8/25 0:11,1.28
626,10/8/25 0:11,2.05
627,10/8/25 0:11,3.09
628,10/8/25 0:12,1.95
629,10/8/25 0:12,2.41
630,10/8/25 0:12,1.61
631,10/8/25 0:13,8.38
632,10/8/25 0:13,1.04
633,10/8/25 0:13,1.43
634,10/8/25 0:13,1.04
635,10/8/25 0:14,3.20
636,10/8/25 0:14,1.26
637,10/8/25 0:14,3.42
638,10/8/25 0:15,5.57
639,10/8/25 0:15,2.26
640,10/8/25 0:15,4.83
641,10/8/25 0:16,1.21
642,10/8/25 0:16,2.43
643,10/8/25 0:16,1.36
644,10/8/25 0:17,9.11
645,10/8/25 0:17,2.24
646,10/8/25 0:17,2.65
647,10/8/25 0:18,12.25
648,10/8/25 0:18,2.08
649,10/8/25 0:18,1.10
650,10/8/25 0:19,4.38
651,10/8/25 0:19,1.56
652,10/8/25 0:19,1.01
653,10/8/25 0:19,1.25
654,10/8/25 0:20,1.48
655,10/8/25 0:20,1.04
656,10/8/25 0:20,2.65
657,10/8/25 0:20,1.55
658,10/8/25 0:21,1.88
659,10/8/25 0:21,1.78
660,10/8/25 0:21,3.02
661,10/8/25 0:22,3.56
662,10/8/25 0:22,1.83
663,10/8/25 0:22,2.60
664,10/8/25 0:22,1.00
665,10/8/25 0:23,3.16
666,10/8/25 0:23,1.74
667,10/8/25 0:23,1.09
668,10/8/25 0:24,7.78
669,10/8/25 0:24,4.33
670,10/8/25 0:24,1.21
671,10/8/25 0:24,1.95
672,10/8/25 0:25,3.95
673,10/8/25 0:25,26.21
674,10/8/25 0:26,3.40
675,10/8/25 0:26,2.19
676,10/8/25 0:27,6.46
677,10/8/25 0:27,3.27
678,10/8/25 0:27,2.17
679,10/8/25 0:27,1.51
680,10/8/25 0:28,1.15
681,10/8/25 0:28,2.52
682,10/8/25 0:28,9.48
683,10/8/25 0:29,1.66
684,10/8/25 0:29,2.50
685,10/8/25 0:29,3.38
686,10/8/25 0:30,1.89
687,10/8/25 0:30,1.25
688,10/8/25 0:30,2.85
689,10/8/25 0:30,1.50
690,10/8/25 0:31,5.15
691,10/8/25 0:31,1.23
692,10/8/25 0:31,2.68
693,10/8/25 0:32,1.10
694,10/8/25 0:32,4.24
695,10/8/25 0:32,2.60
696,10/8/25 0:33,6.92
697,10/8/25 0:33,2.70
698,10/8/25 0:33,1.17
699,10/8/25 0:33,1.19
700,10/8/25 0:34,31.21
701,10/8/25 0:34,2.68
702,10/8/25 0:35,17.47
703,10/8/25 0:35,2.88
704,10/8/25 0:36,3.15
705,10/8/25 0:36,5.61
706,10/8/25 0:36,1.65
707,10/8/25 0:37,1.30
708,10/8/25 0:37,2.30
709,10/8/25 0:37,1.23
710,10/8/25 0:37,1.46
711,10/8/25 0:38,1.73
712,10/8/25 0:38,3.74
713,10/8/25 0:38,2.09
714,10/8/25 0:39,1.44
715,10/8/25 0:39,1.91
716,10/8/25 0:39,1.89
717,10/8/25 0:40,6.14
718,10/8/25 0:40,1.13
719,10/8/25 0:40,1.43
720,10/8/25 0:40,1.81
721,10/8/25 0:40,1.07
722,10/8/25 0:41,1.34
723,10/8/25 0:41,1.26
724,10/8/25 0:41,1.08
725,10/8/25 0:41,1.43
726,10/8/25 0:42,1.13
727,10/8/25 0:42,1.34
728,10/8/25 0:42,1.76
729,10/8/25 0:42,1.00
730,10/8/25 0:42,1.26
731,10/8/25 0:43,2.90
732,10/8/25 0:43,1.22
733,10/8/25 0:43,1.43
734,10/8/25 0:44,25.38
735,10/8/25 0:44,2.33
736,10/8/25 0:45,5.14
737,10/8/25 0:45,3.42
738,10/8/25 0:45,1.07
739,10/8/25 0:46,4.96
740,10/8/25 0:46,1.16
741,10/8/25 0:46,1.10
742,10/8/25 0:46,1.01
743,10/8/25 0:47,5.40
744,10/8/25 0:47,1.13
745,10/8/25 0:47,3.60
746,10/8/25 0:48,10.46
747,10/8/25 0:48,1.52
748,10/8/25 0:48,1.54
749,10/8/25 0:48,2.42
750,10/8/25 0:49,15.04
751,10/8/25 0:49,1.39
752,10/8/25 0:50,1.23
753,10/8/25 0:50,4.13
754,10/8/25 0:50,2.36
755,10/8/25 0:51,4.08
756,10/8/25 0:51,2.83
757,10/8/25 0:51,1.10
758,10/8/25 0:51,1.50
759,10/8/25 0:52,2.48
760,10/8/25 0:52,1.22
761,10/8/25 0:52,4.16
762,10/8/25 0:53,2.29
763,10/8/25 0:53,9.19
764,10/8/25 0:53,1.22
765,10/8/25 0:53,1.98
766,10/8/25 0:54,2.82
767,10/8/25 0:54,1.01
768,10/8/25 0:54,1.16
769,10/8/25 0:54,1.10
770,10/8/25 0:55,8.33
771,10/8/25 0:55,2.32
772,10/8/25 0:56,19.81
773,10/8/25 0:56,2.18
774,10/8/25 0:56,1.64
775,10/8/25 0:57,1.91
776,10/8/25 0:57,1.10
777,10/8/25 0:57,16.71
778,10/8/25 0:58,1.27
779,10/8/25 0:58,3.12
780,10/8/25 0:59,21.29
781,10/8/25 0:59,3.89
782,10/8/25 0:59,1.06
783,10/8/25 0:59,1.00
784,10/8/25 1:00,3.00
785,10/8/25 1:00,23.86
786,10/8/25 1:01,7.51
787,10/8/25 1:01,1.70
788,10/8/25 1:02,21.13
789,10/8/25 1:02,2.69
790,10/8/25 1:03,11.46
791,10/8/25 1:03,1.36
792,10/8/25 1:03,1.94
793,10/8/25 1:03,2.32
794,10/8/25 1:04,1.10
795,10/8/25 1:04,7.01
796,10/8/25 1:04,2.39
797,10/8/25 1:05,2.78
798,10/8/25 1:05,15.92
799,10/8/25 1:05,1.39
800,10/8/25 1:06,1.25
801,10/8/25 1:06,4.01
802,10/8/25 1:06,1.88
803,10/8/25 1:07,11.31
804,10/8/25 1:07,2.33
805,10/8/25 1:07,1.80
806,10/8/25 1:08,1.20
807,10/8/25 1:08,3.95
808,10/8/25 1:08,1.02
809,10/8/25 1:08,1.25
810,10/8/25 1:09,1.04
811,10/8/25 1:09,2.22
812,10/8/25 1:09,1.15
813,10/8/25 1:09,1.03
814,10/8/25 1:10,1.02
815,10/8/25 1:10,21.87
816,10/8/25 1:10,2.08
817,10/8/25 1:11,1.19
818,10/8/25 1:11,1.11
819,10/8/25 1:11,1.55
820,10/8/25 1:11,1.27
821,10/8/25 1:12,2.18
822,10/8/25 1:12,2.01
823,10/8/25 1:12,1.38
824,10/8/25 1:12,1.62
825,10/8/25 1:13,1.00
826,10/8/25 1:13,16.13
827,10/8/25 1:14,3.11
828,10/8/25 1:14,2.03
829,10/8/25 1:14,1.38
830,10/8/25 1:14,2.30
831,10/8/25 1:15,1.81
832,10/8/25 1:15,2.16
833,10/8/25 1:15,1.41
834,10/8/25 1:16,3.11
835,10/8/25 1:16,7.84
836,10/8/25 1:16,1.68
837,10/8/25 1:16,1.35
838,10/8/25 1:17,3.01
839,10/8/25 1:17,1.93
840,10/8/25 1:17,1.14
841,10/8/25 1:18,6.50
842,10/8/25 1:18,3.66
843,10/8/25 1:18,1.48
844,10/8/25 1:19,1.34
845,10/8/25 1:19,3.48
846,10/8/25 1:19,2.01
847,10/8/25 1:19,1.22
848,10/8/25 1:20,11.90
849,10/8/25 1:20,1.29
850,10/8/25 1:21,6.74
851,10/8/25 1:21,1.06
852,10/8/25 1:21,2.13
853,10/8/25 1:21,2.13
854,10/8/25 1:22,1.01
855,10/8/25 1:22,1.01
856,10/8/25 1:22,21.06
857,10/8/25 1:23,1.32
858,10/8/25 1:23,5.00
859,10/8/25 1:23,1.50
860,10/8/25 1:23,1.75
861,10/8/25 1:24,4.32
862,10/8/25 1:24,4.09
863,10/8/25 1:25,3.23
864,10/8/25 1:25,1.14
865,10/8/25 1:25,2.44
866,10/8/25 1:25,4.58
867,10/8/25 1:26,2.60
868,10/8/25 1:26,2.69
869,10/8/25 1:26,1.67
870,10/8/25 1:27,13.12
871,10/8/25 1:27,1.62
872,10/8/25 1:27,1.62
873,10/8/25 1:28,2.10
